sender,text,Sentiment,Sentiment Score
shweta,"9. Little (I) (2019) 12A | 109 min | Comedy, Fantasy, Romance   5.4  Rate 49 Metascore A woman is transformed into her younger self at a point in her life when the pressures of adulthood become too much to bear.  Director: Tina Gordon | Stars: Regina Hall, Issa Rae, Marsai Martin, Justin Hartley",negative,0.42781505
bhumika ,"Instead of slinging BS, consider coming out and saying that the question touches on something you donít know much about yet. Then discuss the ways you typically go about picking up new knowledge and skills. ",positive,0.809111118
johm oliver,"If you canít afford to visit a gym, or have responsibilities that keep you at home, there are plenty of free home-based workouts that can be squeezed into a few minutes. ìWrite down a cardio circuit of five exercises ñ three high-intensity exercises, such as running on the spot or squat jumps, and then two ab exercises such as planks or crunches ñ stick a timer on for 45 seconds and do each exercise for two rounds.î",positive,0.680823624
johm oliver,Take that change to talk to the interviewer about learning opportunities at the company. What kind of education benefits do they provide? What training do they give on a regular basis?,positive,0.751179039
akshay,"Fighting with My Family (2019) 12A | 108 min | Biography, Comedy, Drama   7.1  Rate 68 Metascore A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.",positive,0.784780383
shweta," Scooby-Doo! and the Curse of the 13th Ghost (2019 TV Movie) U | 72 min | Animation, Action, Adventure   6.4  Rate Scooby-Doo and the gang must track down the last of thirteen ghosts they had hunted years ago.  Director: Cecilia Aranovich | Stars: Frank Welker, Grey Griffin, Matthew Lillard, Kate Micucci  Votes: 857",positive,0.627761662
abcd123,Time for a slight costume change. #halloween @ Hotel Carter http://t.co/GcP1sc5o5c,positive,0.701423645
shweta,"When you have the confidence to display the things you donít know, you actually start to create trust with a prospective employer. ",positive,0.821787596
bhumika ,"Donít feel guilty about taking time out to exercise. ìYou have to be strict with yourself,î Brustad says. ìSay: ëOK, on Tuesday I will clear an hour out of my schedule,í and train no matter what. When youíre training, focus on why youíre there",negative,0.101420708
johm oliver,"Ultimately, you want to ensure that you help recruiters to see you as someone who will be a good knowledge worker, both in the first position you are hired for and beyond.",positive,0.988737583
varun kumar,"It is not normal to exist in a state of perpetual stress. If you feel you are approaching burnout, your first port of call should be your GP. ìWe all have stress in our lives,î says Dr Zoe Norris, a GP, ìbut the definition of anxiety as a disease is different from stress.î If patients come to her complaining of stress, she will ask them whether they have been having palpitations, panic attacks or long-term sleep disturbances. These could all indicatebe indicators that they were struggling with an anxiety disorder.",neutral,0.510592043
justin treaudu,"Hereís a little parable. A friend of mine was so enamored of Google Reader that he built a clone when it died. It was just like the original, except that you could add pictures to your posts, and you could Like comments.",positive,0.796056032
akshay,"f youíre tired and run down and find yourself with that rare spare chunk of time, should you be using it to swing kettlebells or get more sleep? In other words, which will do more for your well-being, exercise or sleep? Itís a question most parents, men, and huma",positive,0.98073858
shweta,"Happy Death Day 2U (2019) 15 | 100 min | Comedy, Horror, Mystery   6.2  Rate 57 Metascore Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.  Director: Christopher Landon | Stars: Jessica Rothe, Israel Broussard, Phi Vu, Suraj Sharma  Votes: 48,669 | Gross: $28.05M   Watch on HBO with Prime Video Channels ***: Spoiler Warning: I had to watch the first more than once to appreciate it. That might be the case for this sequel. Happy Death Day 2U starts out funner and scarier. Then instead of really being a Groundhog Day/Slasher film. It becomes pretty much more of a science comedy, like Weird Science and Real Genius. With there being way more heart and comedy than thrills or kills. The movie has some laughs and might still entertain you. However it was basically only made to tie up the loose ends that the first film had.",positive,0.985550225
conor ,"How to Train Your Dragon: The Hidden World (2019) PG | 104 min | Animation, Action, Adventure   7.5  Rate 71 Metascore When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.  Director: Dean DeBlois | Star",neutral,0.493857384
harish,"The answer is a bit complicated. According to experts, it primarily boils down to just how tired you are. To make the best decision, you need to assess your recent sleep history and determine whether youíre merely feeling sluggish or youíre woefully sleep-deprived. Hereís what to do.",positive,0.927329898
harish,"Art Markman, PhD is a professor of Psychology and Marketing at the University of Texas at Austin and Founding Director of the Program in the Human Dimensions of Organizations. Art is the author of Smart Thinking and Habits of Leadership, Smart Change, Brain Briefs, and, most recently, Bring Your Brain to Work. Advertisement   Fast Company More from Fast Company How to answer 5 common trick questions designed to trip you up in an interview 568 saves Why you should never discount a job interview 1,121 saves Youíre probably answering these 5 common interview questions wrong 4,159 saves Advertisement",positive,0.811280668
oscar wilde,"Even if your stress does not meet the clinical threshold for an anxiety disorder, it is a good idea to be mindful of your stress levels. ìAlmost every part of the body is affected by experiencing constant stress,î Norris warns. ìWe are not designed for it as humans.î",positive,0.656078935
kamalamma,"Fluid sloshes in glass vials when Danielle Swanson, the Tenement Museumís collections manager, pulls open a shallow metal drawer full of little perfume bottles and other cosmetics. Even through sealed plastic baggies marked with tidy, scribbled labels, they smell vaguely medicinal, slightly floral, pleasantly antiseptic.",positive,0.614655793
johm oliver,"I'm not gay , but if I was you would be my first pick. üòò",negative,0.304732144
mangesh,"Like everything else in this basement storage space on New Yorkís Lower East Side, the perfumes were once trashóforgotten, left behind, or tossed away. ",negative,0.291150957
dilip sagar,"Develop coping mechanisms. ìPut into place protective factors to reduce the impact stress is having on you,î Norris says. Exercise, reading or socialising with friends are all levellers. ìIf you donít have these coping mechanisms, what happens is that you develop bad coping mechanisms, such as drinking coffee to stay awake, then wine to help you sleep.î",positive,0.739505351
mangesh,"Purple Sprite. Sonic Secret Menu. Go. #DoItYouWont Duluth / Saint-Denis: 00:00 - Disponible: 12, Stationnement: 11",positive,0.650461018
bhumika ,"Stress is a trigger for self-destructive behaviour, such as smoking or drinking too much. ìLots of patients are keen on detoxes or Dry January, but sustained lifestyle changes are better in the long term.î",positive,0.704363346
bhumika ,"14. Captain Marvel (2019) 12A | 123 min | Action, Adventure, Sci-Fi   6.9  Rate 64 Metascore Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.  Directors: Anna Boden, Ryan Fleck | Stars: Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",neutral,0.514621019
shweta,"Try to Get Enough Sleep When you are stressed, your sleep often suffers. But staying up late in order to tackle a growing to-do list is counterproductive. ìIf you are suffering from poor sleep, that will make your stress levels higher,î says Dr Guy Leschziner, a neurologist and the author of The Nocturnal Brain. ìGetting as much sleep as possible when youíre feeling overwhelmed will help to manage your stress.î",positive,0.91682899
bhumika ,"Today, its tours give visitors some sense of what life was like for Kosher butchers, Puerto Rican garment workers, and more. As the museum combed through these cramped, dilapidated apartments and storefronts, they exhumed plenty of debris that generations of residents had left behind.",positive,0.778003931
dilip sagar,"Saint-Andre / Saint-Antoine: 00:00 - Disponible: 13, Stationnement: 2",positive,0.649485409
conor ,"I actually built my own Google Reader clone. (Thatís part of the reason this friend and I became friendsówe both loved Reader that much.) But my version was more conservative: I never added any Like buttons, and I made it difficult to add pictures to comments. In fact, itís so hard that I donít think there has ever been a GIF on the site.",negative,0.010119278
akshay,"What about sleeping pills? ìTheyíre a double-edged sword,î Leschziner says. He explains that they can be helpful as a short-term solution, when someone is under acute stress. ìIf your GP prescribes you a short course of sleeping tablets, for a maximum of two weeks, they can be helpful. ",positive,0.903271616
akshay,"15. Wonder Park (2019) PG | 85 min | Animation, Adventure, Comedy   5.8  Rate 45 Metascore Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.  Director: Dylan Brown | Stars: Sofia Mali, Jennifer Garner, Ken Hudson Campbell, Kenan Thompson  Votes: 8,499 | Gross: $45.22M",positive,0.666908681
akshay,Matthew will probably hate me because I sent him all those stickers but oh well. They are for Halloween üéÉüëª,negative,0.172567666
shweta,p issues by dealing with the underlying source of stress.î Cognitive behavioural therapy can also help address your anxiety and improve the quality of your sleep.  Get Smart About How You Cope,positive,0.872110009
harish,"Also, models like logistic regression can be easily interpreted by looking directly at feature coefficients. The second reason, which follows from the first, is that the model is easier to explain. This is especially important if you are working in industry. It is also more likely that your co-workers will have some exposure to simpler models. ",positive,0.919020832
varun kumar,This is nonsense. I propose a solution to the problem and I get downvoted. While accepted solution does not even answer the questionÖ ñ Jurion Jan 31 '16 at 7:56,negative,0.094866574
harish,"This article describes the text analytics modules included in Azure Machine Learning Studio (classic). These modules provide specialized computational tools for working with both structured and unstructured text, including:",positive,0.856010795
justin treaudu," Us (II) (2019) 15 | 116 min | Horror, Mystery, Thriller   6.9  Rate 81 Metascore A family's serene beach vacation turns to chaos when their doppelg‰ngers appear and begin to terrorize them.  Director: Jordan Peele | Stars: Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker  Votes: 195,719 | Gross: $175.08M   Watch on HBO with Prime Video Channels",positive,0.80091691
kamalamma,"17. Dumbo (2019) PG | 112 min | Adventure, Family, Fantasy   6.3  Rate 51 Metascore A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",positive,0.607502401
justin treaudu,"Letís dive into a practical example. To keep things as clear as possible, an artificially generated dataset will be used. To keep the example from being incredibly dull, weíll create a narrative around it. So, letís say that your HR department has asked you to create a model that predicts whether an employee will be promoted or not. The model should consider an employeeís age and performance score.",positive,0.951741636
shweta,"I thought about building new social features into my clone until I heard my friendís story. The first rule of social software design is that more engagement is better, and that the way you get engagement is by adding stuff like Like buttons and notifications. But the last thing I wanted was to somehow hurt the conversation that was happening, because t'",negative,0.009270172
conor ,"Develop your support structures. ìLook at your relationships,î says Kinder. ìWho are your potential allies? It may be family or friends. When people open up, theyíre often overwhelmed by how much support is available to them.î",positive,0.88911289
akshay,"The museumís archive of antique garbage and cast-offs is off-limits to visitors. The trove, some 6,000 items, is south of the visitorsí center, down two flights of stairs, past a darkened room full of whirring servers, and beyond cabinets stacked with printer cartridges.",positive,0.682098269
harish,"18. Shazam! (2019) 12A | 132 min | Action, Adventure, Comedy   7.1  Rate 71 Metascore A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.  Director: David F. Sandberg | Stars: Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer  Votes: 227,256 | Gross: $140.37M   Watch on HBO with Prime Video Channels",positive,0.941362202
harish,Uuuugggghhh I experienced life as a Dolphins fan for a game. Whew glad that's over!,positive,0.834942579
shweta,Embarrassing loss. Gruden lost this game for us.,negative,0.30954811
dilip sagar,Empty gym.. Hilarious to see the gym workers in costume though! Haha (@ Gold's Gym Arcadia) http://t.co/VCYLLIOhXk,positive,0.861921132
varun kumar,"Remember: Your Job Does Not Define You We live in a society that fetishises overwork, whether it is the side hustle you balance on top of your full-time job or the toxic culture of presenteeism that increasingly blights British offices. ìAsk yourself the question: what do you really care about?î suggests Prof Josh Cohen, the author of Not Working: Why We Have to Stop.",negative,0.09599372
justin treaudu,"Typically, once artifacts go from a dig site (or historic renovation) to a museum, their management becomes about stalling time and halting entropy with the right kind of storage materials, climate control, and careful handling.",positive,0.832977355
oscar wilde,"on to everythingóeach drawer and bag is labeled and numbered, and everything is cradled by archival-quality foam or kept in acid-free boxesóthe basement isnít designed for precious things. A rat poison sign is fastened to the wall and little glue boards are laid out to intercept insects. A dehumidifier squats in a corner. The ceiling hangs low enough that it is striped with yellow-and-black caution tape. Water rushes through overhead pipes with a slurp, loud enough to interrupt a conversation.",negative,0.310918748
dilip sagar,"on to everythingóeach drawer and bag is labeled and numbered, and everything is cradled by archival-quality foam or kept in acid-free boxesóthe basement isnít designed for precious things. A rat poison sign is fastened to the wall and little glue boards are laid out to intercept insects. A dehumidifier squats in a corner. The ceiling hangs low enough that it is striped with yellow-and-black caution tape. Water rushes through overhead pipes with a slurp, loud enough to interrupt a conversation.",negative,0.310918748
niveda,"To avoid burnout, remember you donít have to spend every hour in productive or fruitful labour. Sometimes, it is good to just do nothing at all. ìResist a permanent state of task orientation. There are other dimensions of life, and selfhood, that are worth believing in. Reducing you",negative,0.338954985
akshay,"19. Pet Sematary (2019) 15 | 101 min | Horror, Mystery, Thriller   5.7  Rate 57 Metascore Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",positive,0.834115088
bhumika ,"Most of the trash in the archive turned up when the museum worked to stabilize the floors, ceilings, or staircases of 97 Orchard Street, one of the two tenements it owns. The five-story, multi-family building went up in 1863. Between then and the end of the 1930s, tens of millions of immigrants landed in New York City, and the museum estimates that roughly 7,000 of them passed through 97 Orchard. The tenants came from all over Europe: first from Germany",positive,0.916566014
kamalamma,"20. Hellboy (2019) 15 | 120 min | Action, Adventure, Fantasy   5.2  Rate 31 Metascore Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",positive,0.830374002
mangesh,"Google Reader was engaging, but it had few of the features we associate with engagement. It did a bad job of giving you feedback. You could, eventually, Like articles that people shared, but the Likes went into an abyss; if you wanted to see new Likes come in, you had to scroll back through your share history, keeping track in your head of how many Likes each share had the last time you looked.",positive,0.762449086
oscar wilde,"Russia, and Eastern Europe, and later Turkey, Greece, Spain, and Italy. People lived in the building until 1935, when the owner decided to board the apartments up rather than continue to update and maintain them. Shopkeepers operated out of its street-level storefronts for decades after the apartments went vacantófor more than 50 yearsóeven as the neighborhood filled with new arrivals from China and Puerto Rico. ",positive,0.877686501
dilip sagar,self to the sum of what you do and identifying yourself so fully with your work wonít do your work any good in the long term. Youíll just end up resenting it.î ,positive,0.841707289
conor ,"Preservation, stabilization, and restoration were conducted piecemeal. ìWe talk about it as bringing a floor online at a time,î says Dave Favaloro, the museumís director of curatorial affairs. Updating the wiring, stripping beadboard to reveal fireplaces, pulling up floorboardsó",positive,0.750781775
harish,"all jarred loose small items lost or stashed by their owners, or secreted by rodents, over the years. ìFrom what I understand, rats like shiny things,î Favaloro adds. ìHow else would they have become clumped together?î",negative,0.344156891
bill wagner,"""Where you at?"" Haha ok if ur gonna booty call me don't be so obvious about it",neutral,0.536446691
bill wagner,"""Where you at?"" Haha ok if ur gonna booty call me don't be so obvious about it",neutral,0.536446691
harish,"This post originally appeared on The Guardian and was published September 23, 2019. This article is republished here with permission.",positive,0.600820005
conor ,Do Certain Sounds Enrage You? Neurologists May Know Why,positive,0.605454981
nagendra ,"The way you found out about new comments was similar: You navigated to reader.google.com and clicked the ìCommentsî link; the comments page was poorly designed and it was hard to know exactly how many new comments there had been. When you posted a comment it was never clear that anyone liked it, let alone that they read it.",positive,0.888736308
nagendra ,"If the sound of a co-worker repeatedly clicking his pen can send you into a flaming furor, take heart: Youíre not being hypersensitive, and youíre not alone. ",negative,0.235486895
kamalamma,"Neurologists in the UK have spotted physical differences in the brains of people with this sound-related rage, although whether these differences are the cause or the result of the disorder remains to be seen. The scientists published their findings in the journal Current Biology.",neutral,0.585699737
justin treaudu,A whole lot of books on the brain are published these days and you can read yourself into a coma trying to make sense of their various messages. So it was with my usual low-burn curiosity that I starting reading The Mind Is Flat by British behavioral scientist Nick Chater. ,neutral,0.546783566
bhumika ," At least the title is intriguing. But as I started reading it, I perked right up. Maybe thatís because it starts with a long riff on Anna Karenina and asks us to plumb the motivations of her suicide. Can we explain them? What if the great steam engine slammed on its brakes and Anna didnít die? Would she be able to explain her own motivations to a psychologist while convalescing in a Swiss sanatorium?",negative,0.19865109
bhumika ,"Chater writes it makes no difference that Anna is a fictional character. We would go through the exact same mental peregrinations with a real person. In fact, the surviving real person, struggling to find clarity in the muddle of her feelings, would only be telling the psychologist a story about why she wanted to take her life. ",negative,0.219302937
harish,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",positive,0.952207088
dilip sagar,"Well, then, I thought, if Chater keeps up this audacious tone, The Mind Is Flat is going to be anything but flat. Indeed, as it makes its way through a modern landscape of cognitive research and experiments, it shoots one dart after another at treasured cultural notions about truths lurking in the tangles of our brains. ",negative,0.121879436
shweta,"To avoid burnout, remember you donít have to spend every hour in productive or fruitful labour. Sometimes, it is good to just do nothing at all. ìResist a permanent state of task orientation. There are other dimensions of life, and selfhood, that are worth believing in.",negative,0.357977152
mangesh,"re not pre-formed feelings waiting to burst forth, Chater writes, they are momentary improvisations to bodily reactions. Our brains are jazz players, he tells us, cooking up the best thoughts and behaviors for the moment. Tapping into a higher consciousness may be a beloved idea, Chater writes, but it amounts to ìnonsense on stilts.î James Joyceís Ulysses is an exploration of the innermost workings of the mind, you say? ìQuite the reverse,î Chater writes. Joyce and Virginia Woolfís celebrated stream-of-consciousness styles are ìoutputs of successful cycles of thought.î (OK, thatís a little clunky.)",positive,0.654175818
nagendra ,We create the features for 2000 hypothetical employees in the code below. The employees can have an age between 18 and 60. The performance score can be between -10,positive,0.853979111
Hadi,"Ende des Liveticker Wir beenden f¸r heute den Liveticker zu den Geschehnissen rund um den Anschlag auf die franzˆsische Satirezeitschrift ""Charlie Hebdo"".",positive,0.769209445
akshay,"2. Avengers: Endgame (2019) 12A | 181 min | Action, Adventure, Drama   8.4  Rate 78 Metascore After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",positive,0.698578537
harish,"When you are writing in the absence of feedback you have to rely on your own judgment. You want to please your audience, of course. But to do that you have to imagine what your audience will like, and since thatís hard, you end up leaning on what you like.",positive,0.950682878
Hadi,"rozent-Coupon Der Zinscoupon, nachdem sich die Zins¸berweisungen richten, lautete erstmals auf 0,00 Prozent.",positive,0.743156552
dilip sagar,"Nevertheless, I raced through The Mind Is Flat fascinated. Iíve encountered shades of Chaterís ideas in other recent books, notably How Emotions Are Made, in which author Lisa Feldman Barrett, a neuroscientist, ",neutral,0.53428942
Hadi,"rozent-Coupon Der Zinscoupon, nachdem sich die Zins¸berweisungen richten, lautete erstmals auf 0,00 Prozent.",positive,0.743156552
Hadi,"rozent-Coupon Der Zinscoupon, nachdem sich die Zins¸berweisungen richten, lautete erstmals auf 0,00 Prozent.",positive,0.743156552
bhumika ,"Trash is perhaps the greatest currency of archaeology. It tells stories, but they donít always have a beginning, middle, and end. Favaloro says thereís not much to be gained by thinking about this material as something that can be excavated layer by layer. Many of the piecesónewspaper clippings, wedding invitations, ledgersóare, at best, snapshots. ",negative,0.016957432
johm oliver," PokÈmon Detective Pikachu (2019) PG | 104 min | Adventure, Comedy, Family   6.6  Rate 53 Metascore In a world where people collect PokÈmon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective.",positive,0.708545148
Hadi,Kommentar zum Thema gefunden.,positive,0.709103465
bhumika ,Reducing yourself to the sum of what you do and identifying yourself so fully with your work wonít do your work any good in the long term. Youíll just end up resenting it.,positive,0.842719734
varun kumar,illuminates in detail how an ìemotion is your brainís creation of what your bodily sensations mean.î But I was consistently engaged by ,positive,0.637848616
Hadi,Prozent: Tiefer geht die EZB nicht mehr Die Europ‰ische Zentralbank bel‰sst den Leitzins auf historischem Tief.,neutral,0.541610181
kantharaj,"Chaterís brazen pointsóìWe have all been victims of a hoax, perpetrated on us by our brainsîóeven if I was never quite sure they were right. ",neutral,0.49954778
